restaurant,product_name,price_toman,collected_at
Shila,پیتزا مخلوط پلاس 30 سانتی,1017000,2026-05-23
Shila,پیتزا مرغ 30 سانتی متری,798000,2026-05-23
Shila,پیتزا دونر استیک 30 سانتی متری,958000,2026-05-23
Shila,پیتزا اسپینا چیکن 30 سانتی متری,818000,2026-05-23
Shila,پیتزا پپرونی 30 سانتی متری,829000,2026-05-23
Shila,پیتزا رست بیف 30 سانتی متری,968000,2026-05-23
Shila,پیتزا گوشت و قارچ 30 سانتی متری,918000,2026-05-23
Shila,پیتزا مخلوط 30 سانتی متری,768000,2026-05-23
Shila,پیتزا سبزیجات 30 سانتی متری,678000,2026-05-23
Shila,پیتزا کویین 30 سانتی متری,999000,2026-05-23
Shila,پیتزا هات چیکن 30 سانتی متری,818000,2026-05-23
Shila,پیتزا اسپشیال 30 سانتی متری,918000,2026-05-23
Meykhosh,پیتزا مخصوص,1162000,2026-05-23
Meykhosh,پیتزا مخلوط,1060000,2026-05-23
Meykhosh,پیتزا یونانی,1162000,2026-05-23
Meykhosh,پیتزا گوشت و قارچ,1257000,2026-05-23
Meykhosh,پیتزا گوشت و پیاز,1275000,2026-05-23
Meykhosh,پیتزا رست بیف,1486000,2026-05-23
Meykhosh,پیتزا میکس,1249000,2026-05-23
Meykhosh,پیتزا مرغ  و قارچ,1043000,2026-05-23
Meykhosh,پیتزا کالزونه,1060000,2026-05-23
Meykhosh,پیتزا سوسیس,919000,2026-05-23
Meykhosh,پیتزا سوسیس و قارچ,957000,2026-05-23
Meykhosh,پیتزا پپرونی,1010000,2026-05-23
Meykhosh,پیتزا مکزیکی,1073000,2026-05-23
Meykhosh,پیتزا قارچ,819000,2026-05-23
Meykhosh,پیتزا مارگاریتا,725000,2026-05-23
Meykhosh,پیتزا سبزیجات,883000,2026-05-23
Meykhosh,پیتزا مدیترانه,892000,2026-05-23
Meykhosh,پیتزا سیر و استیک,1538000,2026-05-23
Meykhosh,پیتزا سالامی,953000,2026-05-23
Meykhosh,پیتزا میکس (مرغ دودی),1240000,2026-05-23
Meykhosh,پیتزا مرغ دودی و قارچ,1041000,2026-05-23
Meykhosh,پیتزا بوقلمون و قارچ,978000,2026-05-23
Meykhosh,پیتزا سیر و بیکن,1583000,2026-05-23
Perperook,پیتزا پنجره ای,1040000.0,2026-05-23
Perperook,پیتزا ژامبون استیک با فلفل,1225000.0,2026-05-23
Perperook,پیتزا ژامبون استیک,1205000.0,2026-05-23
Perperook,پیتزا مرغ تنوری,1265000.0,2026-05-23
Perperook,پیتزا پپرونی,1030000.0,2026-05-23
Perperook,پیتزا گوشت و قارچ,1175000.0,2026-05-23
Perperook,پیتزا گوشت و پیاز,1110000.0,2026-05-23
Perperook,پیتزا برتولی ,1150000.0,2026-05-23
Perperook,پیتزا سبزیجات,725000.0,2026-05-23
Perperook,پیتزا آروستو,1155000.0,2026-05-23
Perperook,پیتزا قارچ,815000.0,2026-05-23
Perperook,پیتزا مارگاریتا,740000.0,2026-05-23
Perperook,پیتزا پنیر مخصوص پرپروک,835000.0,2026-05-23
Perperook,پیتزا آروستوپینو,1175000.0,2026-05-23
Perperook,پیتزا کارزانا,1270000.0,2026-05-23
